"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"ADANIPOWER","709.90","712.55","693.00","708.90","697.70","-11.20","-1.58","33,15,411","232.03","895.85","235.85","-7.58","190.83"
"IDFCFIRSTB","81.18","81.35","79.46","81.19","79.90","-1.29","-1.59","3,22,09,972","258.29","100.70","70.80","4.49","1.87"
"FINCABLES","1,666.50","1,683.35","1,621.00","1,666.50","1,639.95","-26.55","-1.59","1,17,478","19.36","1,700.00","804.65","13.08","102.59"
"FINPIPE","324.25","326.00","316.30","323.15","318.00","-5.15","-1.59","6,46,990","20.73","355.90","170.05","-7.75","87.55"
"PATANJALI","1,654.70","1,655.00","1,622.00","1,648.30","1,622.00","-26.30","-1.60","2,79,086","45.64","1,764.40","1,165.10","17.63","-"
"JSWINFRA","356.95","356.95","346.35","356.65","350.95","-5.70","-1.60","24,29,203","85.23","360.95","142.20","24.49","-"
"MAHLIFE","625.00","627.50","611.25","625.00","615.00","-10.00","-1.60","2,06,509","12.76","678.80","468.20","4.87","31.58"
"KPRMILL","891.50","891.50","861.20","887.35","873.05","-14.30","-1.61","2,31,376","20.19","934.00","615.00","5.86","39.77"
"IBULHSGFIN","171.65","171.85","167.50","170.72","167.95","-2.77","-1.62","46,98,446","79.48","208.90","79.40","6.80","30.92"
"VEDL","475.90","477.50","464.80","473.85","466.10","-7.75","-1.64","85,76,939","402.94","506.75","208.00","2.87","68.90"
"INDIAMART","2,712.00","2,715.40","2,631.45","2,698.80","2,653.35","-45.45","-1.68","96,302","25.64","3,335.55","2,230.00","6.14","-1.71"
"ALKYLAMINE","2,130.00","2,139.95","2,090.00","2,128.35","2,092.50","-35.85","-1.68","46,452","9.78","2,735.00","1,808.00","8.15","-18.47"
"MSUMI","73.50","73.77","70.80","73.39","72.13","-1.26","-1.72","1,23,63,406","88.67","80.00","57.60","8.09","25.78"
"JUSTDIAL","1,023.00","1,032.75","999.00","1,022.65","1,005.00","-17.65","-1.73","1,54,006","15.57","1,162.00","693.05","6.13","38.32"
"LATENTVIEW","519.50","520.00","505.55","519.00","510.00","-9.00","-1.73","3,53,262","18.10","567.10","356.20","0.93","-"
"FDC","520.00","520.10","501.70","515.30","506.30","-9.00","-1.75","2,38,682","12.15","521.65","321.05","16.33","52.10"
"GAEL","140.95","141.79","136.70","140.61","138.15","-2.46","-1.75","11,99,576","16.59","210.60","117.85","-7.92","-41.66"
"UNIONBANK","135.00","135.80","133.00","135.73","133.35","-2.38","-1.75","1,01,39,728","136.15","172.50","77.65","-7.32","69.66"
"APTUS","340.00","342.20","333.05","340.05","334.00","-6.05","-1.78","2,90,472","9.76","392.00","246.85","6.85","36.07"
"SIEMENS","7,934.25","7,934.80","7,685.05","7,885.55","7,742.00","-143.55","-1.82","2,34,500","182.10","7,968.70","3,246.00","14.70","113.67"
"BDL","1,741.05","1,773.30","1,670.00","1,731.85","1,700.05","-31.80","-1.84","40,89,435","701.96","1,794.70","450.00","21.03","57.01"
"TV18BRDCST","45.10","45.58","43.94","44.88","44.05","-0.83","-1.85","56,87,113","25.33","68.70","38.00","4.01","15.52"
"MAZDOCK","5,710.00","5,830.00","5,500.00","5,685.80","5,580.00","-105.80","-1.86","36,44,959","2,065.96","5,860.00","1,280.00","80.32","329.90"
"KEI","4,680.00","4,709.95","4,586.00","4,691.45","4,604.00","-87.45","-1.86","1,20,817","55.95","5,039.70","2,223.00","11.15","103.20"
"TATACHEM","1,101.75","1,111.15","1,078.65","1,101.75","1,080.90","-20.85","-1.89","11,11,230","121.22","1,349.00","933.00","4.32","9.93"
"AARTIIND","721.90","725.75","703.80","721.90","708.10","-13.80","-1.91","8,16,240","58.02","769.25","438.00","13.77","52.91"
"RHIM","629.95","633.55","612.25","627.20","615.00","-12.20","-1.95","2,86,898","17.75","824.00","504.25","-7.05","1.15"
"SHRIRAMFIN","2,856.00","2,856.00","2,796.10","2,865.85","2,810.00","-55.85","-1.95","8,13,151","228.97","3,059.45","1,703.85","14.73","66.75"
"NATCOPHARM","1,234.00","1,236.00","1,189.20","1,223.90","1,200.00","-23.90","-1.95","7,09,763","85.96","1,259.45","667.80","13.07","79.63"
"ENDURANCE","2,761.75","2,812.45","2,652.55","2,727.30","2,674.00","-53.30","-1.95","1,89,079","51.74","3,061.30","1,540.05","12.68","67.25"
"MGL","1,700.25","1,708.05","1,641.55","1,699.40","1,666.00","-33.40","-1.97","4,77,986","79.66","1,858.35","970.55","23.05","52.87"
"LTF","190.01","190.58","185.17","189.91","186.15","-3.76","-1.98","44,60,806","83.53","194.25","116.50","12.74","-"
"SCHAEFFLER","4,571.50","4,647.60","4,440.00","4,591.10","4,499.45","-91.65","-2.00","1,92,371","86.45","4,951.00","2,612.20","10.53","51.60"
"ACE","1,497.45","1,498.00","1,456.00","1,492.30","1,462.45","-29.85","-2.00","3,13,353","45.93","1,695.00","510.00","2.05","151.00"
"GRAPHITE","573.00","576.50","558.05","571.65","560.20","-11.45","-2.00","7,53,451","42.62","709.40","392.90","0.81","41.01"
"MMTC","85.21","87.00","83.10","85.21","83.50","-1.71","-2.01","66,44,255","56.38","101.90","32.00","21.47","162.59"
"MHRIL","454.00","455.05","437.05","450.35","441.30","-9.05","-2.01","1,93,775","8.59","505.00","294.85","11.85","50.22"
"BALAMINES","2,399.95","2,400.00","2,322.00","2,377.85","2,330.00","-47.85","-2.01","55,530","13.02","2,735.00","1,960.00","10.41","3.40"
"TATACOMM","1,888.30","1,892.95","1,840.00","1,888.30","1,850.00","-38.30","-2.03","2,69,813","50.31","2,084.65","1,525.05","4.17","21.85"
"RKFORGE","995.45","997.85","942.00","984.15","964.10","-20.05","-2.04","17,61,890","171.48","998.45","436.00","38.34","120.24"
"SUVENPHAR","812.50","817.85","789.10","813.60","796.95","-16.65","-2.05","91,563","7.31","839.95","477.65","25.50","68.52"
"INDIGO","4,323.55","4,324.80","4,228.60","4,322.90","4,234.00","-88.90","-2.06","3,85,991","164.65","4,609.80","2,333.35","-1.15","64.30"
"CEATLTD","2,692.85","2,702.40","2,630.00","2,693.60","2,638.00","-55.60","-2.06","1,25,107","33.30","2,998.45","2,056.35","9.67","11.63"
"CENTURYPLY","742.65","750.50","725.00","742.65","727.30","-15.35","-2.07","92,423","6.79","849.50","594.00","7.77","12.60"
"FIVESTAR","800.00","804.15","768.40","799.10","782.50","-16.60","-2.08","3,18,531","24.85","876.55","600.05","1.01","20.18"
"CENTURYTEX","2,279.00","2,307.95","2,212.05","2,280.60","2,232.00","-48.60","-2.13","1,73,683","39.02","2,420.00","884.20","7.53","148.55"
"RTNINDIA","81.83","82.34","79.80","81.84","80.08","-1.76","-2.15","27,94,336","22.62","94.85","39.15","7.19","104.86"
"PRESTIGE","1,820.80","1,842.65","1,763.10","1,815.20","1,775.90","-39.30","-2.17","8,21,746","147.60","2,074.80","521.20","3.08","211.92"
"ABCAPITAL","236.01","237.04","230.42","236.01","230.90","-5.11","-2.17","32,81,207","76.32","246.90","155.00","1.77","24.71"
"CAPLIPOINT","1,463.00","1,463.00","1,409.90","1,456.20","1,424.00","-32.20","-2.21","1,18,649","16.90","1,619.05","785.00","6.64","85.21"
"JINDALSTEL","1,050.55","1,054.45","1,023.50","1,050.50","1,027.00","-23.50","-2.24","14,17,503","146.62","1,097.00","581.60","2.29","72.16"
"GLS","907.95","914.95","880.05","908.35","888.00","-20.35","-2.24","81,068","7.27","972.00","564.30","4.68","50.83"
"MAPMYINDIA","2,472.95","2,472.95","2,375.00","2,460.50","2,405.00","-55.50","-2.26","1,44,683","34.87","2,747.85","1,200.10","23.54","102.15"
"DCMSHRIRAM","1,020.00","1,024.00","983.80","1,016.40","993.00","-23.40","-2.30","59,056","5.89","1,175.00","826.30","2.80","13.72"
"INDUSTOWER","396.00","398.85","384.20","395.65","386.50","-9.15","-2.31","1,73,94,416","677.29","408.40","157.35","13.97","142.14"
"HEG","2,264.60","2,292.80","2,202.00","2,264.60","2,211.55","-53.05","-2.34","2,10,730","47.35","2,743.00","1,461.90","3.86","43.10"
"MAHSEAMLES","653.35","658.00","635.15","653.35","638.00","-15.35","-2.35","5,61,386","36.00","1,097.00","450.65","0.69","39.44"
"CANBK","117.50","118.08","114.66","117.76","114.99","-2.77","-2.35","3,40,32,815","395.39","128.90","63.85","-0.96","-64.71"
"INDIANB","538.85","540.00","524.80","538.85","526.10","-12.75","-2.37","17,29,642","91.95","632.70","301.50","0.78","74.78"
"ASTRAZEN","6,860.00","6,860.00","6,725.55","6,895.75","6,732.50","-163.25","-2.37","16,790","11.36","7,572.20","3,700.00","10.24","83.98"
"SUPREMEIND","6,039.75","6,061.95","5,870.00","6,039.75","5,895.95","-143.80","-2.38","57,878","34.34","6,460.00","3,140.00","5.07","91.56"
"GODFRYPHLP","4,350.00","4,420.00","4,205.00","4,333.10","4,228.00","-105.10","-2.43","49,923","21.39","4,490.00","1,620.00","12.77","151.34"
"KAJARIACER","1,476.25","1,482.90","1,423.00","1,476.25","1,439.90","-36.35","-2.46","1,38,040","19.89","1,523.80","1,110.35","18.91","19.99"
"KRBL","317.00","319.70","307.80","316.95","309.10","-7.85","-2.48","15,50,979","48.49","470.90","258.15","12.63","-9.22"
"BPCL","304.60","307.95","298.80","306.65","299.00","-7.65","-2.49","1,14,88,688","346.76","343.98","165.73","-48.87","-21.70"
"MANYAVAR","1,094.60","1,094.65","1,065.00","1,094.65","1,067.00","-27.65","-2.53","77,406","8.36","1,487.90","886.05","-1.78","-9.24"
"TORNTPOWER","1,518.00","1,523.80","1,457.25","1,509.50","1,471.10","-38.40","-2.54","2,33,580","34.36","1,633.10","601.00","0.77","138.26"
"PPLPHARMA","158.00","159.50","153.52","157.99","153.90","-4.09","-2.59","28,29,342","44.15","166.70","87.50","5.33","71.92"
"BBTC","2,058.00","2,068.00","1,992.00","2,053.55","1,999.95","-53.60","-2.61","1,06,499","21.56","2,167.70","970.05","28.67","84.46"
"REDINGTON","215.69","216.00","208.10","215.44","209.80","-5.64","-2.62","16,62,376","35.16","237.55","136.20","3.18","14.05"
"IIFL","523.00","526.00","507.20","523.10","509.40","-13.70","-2.62","16,67,183","86.19","682.91","304.13","11.18","2.59"
"ASAHIINDIA","694.00","694.00","668.15","690.45","672.20","-18.25","-2.64","99,331","6.71","722.00","491.60","14.70","30.42"
"ASTRAL","2,414.00","2,414.20","2,307.85","2,406.25","2,342.40","-63.85","-2.65","8,71,732","204.23","2,454.00","1,740.00","11.46","34.62"
"CAMPUS","294.05","295.25","283.50","294.00","286.00","-8.00","-2.72","13,39,262","38.52","338.90","213.00","1.94","-7.95"
"CRAFTSMAN","5,681.60","5,730.90","5,501.75","5,681.60","5,525.00","-156.60","-2.76","35,879","20.01","5,840.00","3,782.05","29.97","43.85"
"INDIACEM","284.55","284.55","276.05","284.60","276.75","-7.85","-2.76","26,35,006","73.49","307.90","172.55","32.80","34.85"
"IDEA","17.10","17.23","16.50","17.09","16.61","-0.48","-2.81","54,12,64,689","911.49","19.18","7.15","7.82","129.40"
"BLUESTARCO","1,710.60","1,738.00","1,648.00","1,705.25","1,657.20","-48.05","-2.82","2,30,422","38.67","1,805.00","701.70","8.90","115.77"
"NUVOCO","372.95","376.00","360.85","372.95","361.95","-11.00","-2.95","4,58,620","16.77","398.00","291.30","11.34","5.70"
"ACI","747.05","749.80","721.25","747.05","724.90","-22.15","-2.96","8,75,446","64.52","837.70","494.15","21.67","39.75"
"SPARC","252.10","253.19","243.00","251.43","243.90","-7.53","-2.99","10,42,364","25.73","472.80","196.10","13.87","18.82"
"UNOMINDA","1,174.40","1,198.80","1,115.00","1,163.90","1,129.00","-34.90","-3.00","14,30,978","164.19","1,207.30","548.60","20.81","104.71"
"CUB","169.20","169.87","163.60","169.99","164.85","-5.14","-3.02","44,40,706","73.73","174.75","120.05","15.56","30.06"
"CSBBANK","378.80","378.80","365.10","377.60","366.00","-11.60","-3.07","2,20,609","8.15","422.25","282.50","9.45","30.88"
"CUMMINSIND","4,144.00","4,154.00","3,960.80","4,134.00","4,000.60","-133.40","-3.23","9,37,986","376.53","4,171.90","1,653.30","14.62","117.31"
"DIVISLAB","4,629.40","4,649.65","4,445.00","4,629.70","4,480.00","-149.70","-3.23","8,90,261","399.83","4,670.00","3,295.30","2.34","26.20"
"BRIGADE","1,344.45","1,350.00","1,295.00","1,344.45","1,299.90","-44.55","-3.31","2,96,024","38.71","1,453.10","550.10","-3.23","141.87"
"TITAN","3,204.00","3,204.00","3,126.10","3,269.35","3,160.45","-108.90","-3.33","53,23,920","1,675.49","3,886.95","2,882.45","-5.07","3.99"
"MANKIND","2,137.85","2,150.00","2,055.55","2,137.85","2,066.00","-71.85","-3.36","3,94,387","82.31","2,490.00","1,683.05","0.49","23.30"
"RBLBANK","262.65","263.75","252.85","262.75","253.85","-8.90","-3.39","82,81,949","212.32","300.70","182.80","4.58","42.26"
"YESBANK","26.95","27.44","25.57","26.64","25.70","-0.94","-3.53","64,83,38,958","1,718.10","32.85","15.70","15.08","52.66"
"VTL","537.80","541.95","514.05","535.90","516.90","-19.00","-3.55","5,50,627","28.69","553.95","334.40","13.05","47.98"
"PERSISTENT","4,779.80","4,784.95","4,566.25","4,771.25","4,599.25","-172.00","-3.60","9,71,949","450.91","4,845.70","1,158.59","23.92","-1.21"
"OBEROIRLTY","1,798.00","1,798.00","1,715.00","1,785.05","1,719.85","-65.20","-3.65","5,26,932","91.74","1,953.05","1,004.35","-5.53","74.89"
"GRSE","2,716.90","2,785.45","2,581.55","2,710.65","2,605.00","-105.65","-3.90","39,72,546","1,058.46","2,833.80","562.75","100.27","370.56"
"BANKBARODA","268.00","268.00","261.55","273.80","263.00","-10.80","-3.94","2,28,06,599","602.78","299.70","185.75","1.11","31.00"
"AUBANK","667.95","668.25","639.10","672.60","645.00","-27.60","-4.10","61,91,001","401.31","813.40","553.70","0.54","-11.69"
"HONASA","484.00","488.20","457.75","482.35","462.00","-20.35","-4.22","7,26,585","33.78","511.00","256.30","10.00","-"
"SCHNEIDER","924.00","930.00","874.00","921.80","880.40","-41.40","-4.49","4,02,525","35.99","980.00","268.60","23.72","230.39"
"RADICO","1,718.00","1,718.00","1,636.00","1,716.25","1,639.00","-77.25","-4.50","3,53,371","58.73","1,885.10","1,141.25","-0.11","26.65"
"VAIBHAVGBL","341.00","345.50","318.05","337.35","321.05","-16.30","-4.83","10,84,596","35.71","542.40","262.65","6.49","9.10"
"J&KBANK","112.51","112.77","105.79","112.10","106.50","-5.60","-5.00","95,19,132","102.56","152.50","66.00","-7.47","63.77"
"ELECON","1,405.00","1,409.00","1,252.35","1,376.70","1,306.80","-69.90","-5.08","21,09,062","274.33","1,409.00","626.60","24.75","113.99"
